##BLOCKS= 5          
Note:
To use this Protocol:
1. Delete unwanted Sections.
2. Modify the Instrument Settings based on your specific reader by pressing [Setup].
3. Click the [Template] button and assign any default or new groups as necessary.  You can print the assigned template to help prepare your microplate.
4. Select the desired Reduction and Display (Raw vs. Reduced) parameters.
5. Save this protocol with a different name in the same folder as the SoftMax Pro application. This modified protocol can now be accessed through the Assays menu. A copy of the original protocol can be found in the original location.
~End
Plate:	Lambda Standard Plate	1.3	TimeFormat	Endpoint	Fluorescence	FALSE	Raw	FALSE	1						1	538	1	12	96	485	Automatic	530			6	Automatic			1	8	None	
	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
	23.90	2044.907	2072.61	2000.511	3440.274	2529.449	0.262	0.285	0.268	0.252	0.298	0.33	0.308	1272.16	547.836	1309.611	3347.436	2480.725	0.248	0.252	0.25	0.308	0.282	0.316	0.261	672.034	270.052	563.069	3401.189	0.281	0.247	0.253	0.262	0.278	0.28	0.278	0.286	286.619	125.927	131.318	3567.043	0.233	0.239	0.252	0.284	0.291	0.284	0.27	0.317	93.986	123.784	37.939	3565.964	0.252	0.258	0.267	0.284	0.285	0.304	0.29	0.274	27.521	11.457	23.939	3641.148	0.273	0.278	0.301	0.272	0.287	2.936	0.312	0.317	12.99	4.085	7.287	3581.535	0.244	0.272	0.256	0.272	0.275	1.418	0.309	0.359	2.238	2.204	2.074	3456.926	0.246	0.269	0.271	0.283	0.288	0.295	0.286	0.355	

~End
Group:	Standards	1
Sample	Concentration	Wells	Values	MeanValue	Std.Dev.	CV%
St01	75.000	A1	2044.907	2039.343	36.370	1.8
		A2	2072.610			
		A3	2000.511			
St02	50.000	B1	1272.160	1043.202	429.408	41.2
		B2	547.836			
		B3	1309.611			
St03	25.000	C1	672.034	501.718	207.895	41.4
		C2	270.052			
		C3	563.069			
St04	12.500	D1	286.619	181.288	91.259	50.3
		D2	125.927			
		D3	131.318			
St05	6.250	E1	93.986	85.236	43.586	51.1
		E2	123.784			
		E3	37.939			
St06	3.125	F1	27.521	20.972	8.433	40.2
		F2	11.457			
		F3	23.939			
St07	1.526	G1	12.990	8.121	4.511	55.5
		G2	4.085			
		G3	7.287			
St08	0.000	H1	2.238	2.172	0.087	4.0
		H2	2.204			
		H3	2.074			

Smallest standard value: 2.172

Largest standard value: 2039.343

~End
Group:	Samples (100-fold dilution)	1
Sample	Wells	RFU  Values	R	Concentration	MeanConc	Std.Dev.	CV%
Un01	A1	418.980	R	19.149	36.683	Error	Error
	A2	2028.414	R	80.499			
	A3	1232.218		50.149			
	A4	1420.733		57.335			
	A5	793.492		33.425			
	A6	1293.470		52.483			
	A7	1437.297		57.966			
	A8	1413.037		57.041			
	A9	917.832		38.164			
	A10	489.374		21.832			
	A11	563.928		24.674			
	A12	339.489		16.119			
	B1	335.086		15.951			
	B2	426.277		19.427			
	B3	470.171		21.100			
	B4	1682.939		67.330			
	B5	649.974		27.954			
	B6	1538.198		61.812			
	B7	1509.906		60.734			
	B8	388.225		17.976			
	B9	1112.192		45.573			
	B10	489.978		21.855			
	B11	447.244		20.226			
	B12	335.241		15.957			
	C1	902.371		37.575			
	C2	348.256		16.453			
	C3	380.418		17.679			
	C4	1724.401		68.910			
	C5	326.010		15.605			
	C6	1524.147		61.277			
	C7	1658.585		66.401			
	C8	442.848		20.059			
	C9	743.989		31.538			
	C10	552.769		24.249			
	C11	758.345		32.085			
	C12	467.507		20.999			
	D1	412.136		18.888			
	D2	556.603		24.395			
	D3	198.028		10.726			
	D4	1607.128		64.440			
	D5	354.274		16.682			
	D6	676.541		28.967			
	D7	1735.612		69.337			
	D8	1257.244		51.103			
	D9	1689.313		67.573			
	D10	723.646		30.762			
	D11	712.997		30.356			
	D12	504.432		22.406			
	E1	425.683		19.404			
	E2	194.373		10.587			
	E3	1015.399		41.884			
	E4	1535.163		61.697			
	E5	324.383		15.543			
	E6	1858.308		74.014			
	E7	1579.199		63.375			
	E8	1083.557		44.482			
	E9	1389.130		56.130			
	E10	608.951		26.390			
	E11	655.329		28.158			
	E12	591.486		25.724			
	F1	442.021		20.027			
	F2	893.168		37.224			
	F3	247.792		12.623			
	F4	1876.249		74.698			
	F5	424.453		19.357			
	F6	1551.231		62.309			
	F7	1001.630		41.359			
	F8	789.358		33.267			
	F9	575.406		25.112			
	F10	490.093		21.859			
	F11	541.488		23.819			
	F12	427.156		19.460			
	G1	959.502		39.753			
	G2	505.572		22.450			
	G3	1034.243		42.602			
	G4	1220.504		49.702			
	G5	594.931		25.856			
	G6	2020.944		80.214			
	G7	800.299		33.684			
	G8	1354.017		54.791			
	G9	1263.665		51.347			
	G10	28.785		4.275			
	G11	66.548		5.714			
	G12	1134.734		46.433			
	H1	520.028		23.001			
	H2	583.911		25.436			
	H3	956.205		39.627			
	H4	413.729		18.949			
	H5	1616.992		64.816			
	H6	1298.504		52.675			
	H7	1328.988		53.837			
	H8	1530.288		61.511			
	H9	1455.873		58.674			
	H10	4.583		3.352			
	H11	3.825		3.323			
	H12	1172.268		47.863			

R - Outside standard range  

~End
Plate:	Sample Plate	1.3	TimeFormat	Endpoint	Fluorescence	FALSE	Raw	FALSE	1						1	538	1	12	96	485	Automatic	530			6	Automatic			1	8	None	
