##BLOCKS= 5          
Note:
To use this Protocol:
1. Delete unwanted Sections.
2. Modify the Instrument Settings based on your specific reader by pressing [Setup].
3. Click the [Template] button and assign any default or new groups as necessary.  You can print the assigned template to help prepare your microplate.
4. Select the desired Reduction and Display (Raw vs. Reduced) parameters.
5. Save this protocol with a different name in the same folder as the SoftMax Pro application. This modified protocol can now be accessed through the Assays menu. A copy of the original protocol can be found in the original location.
~End
Plate:	Lambda Standard Plate	1.3	TimeFormat	Endpoint	Fluorescence	FALSE	Raw	FALSE	1						1	538	1	12	96	485	Automatic	530			6	Automatic			1	8	None	
	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
	24.20	1937.123	1972.971	1904.985	3326.401	2457.231	0.289	0.276	0.272	0.26	0.278	0.322	0.334	1216.653	549.199	1247.192	3274.025	2422.647	0.241	0.269	0.262	0.29	0.264	0.309	0.259	665.11	291.341	558.511	3323.989	0.27	0.25	-0.58	0.256	0.276	0.23	0.31	0.273	285.141	136.743	142.547	3455.589	0.272	0.259	0.283	0.256	0.312	0.3	0.264	0.313	101.401	127.415	38.85	3435.73	0.251	0.266	0.278	0.321	0.287	0.268	0.288	0.315	29.235	27.595	26.596	3541.378	0.257	0.255	0.272	0.251	0.267	2.918	0.304	0.327	15.753	4.387	10.525	3487.045	0.263	1.59	0.269	0.305	0.285	0.283	0.288	0.311	1.818	1.926	2.031	3363.375	0.255	0.281	0.266	0.285	0.326	0.331	0.311	0.332	

~End
Group:	Standards	1
Sample	Concentration	Wells	Values	MeanValue	Std.Dev.	CV%
St01	75.000	A1	1937.123	1938.360	34.010	1.8
		A2	1972.971			
		A3	1904.985			
St02	50.000	B1	1216.653	1004.348	394.466	39.3
		B2	549.199			
		B3	1247.192			
St03	25.000	C1	665.110	504.987	192.547	38.1
		C2	291.341			
		C3	558.511			
St04	12.500	D1	285.141	188.144	84.052	44.7
		D2	136.743			
		D3	142.547			
St05	6.250	E1	101.401	89.222	45.521	51.0
		E2	127.415			
		E3	38.850			
St06	3.125	F1	29.235	27.809	1.332	4.8
		F2	27.595			
		F3	26.596			
St07	1.526	G1	15.753	10.222	5.689	55.7
		G2	4.387			
		G3	10.525			
St08	0.000	H1	1.818	1.925	0.107	5.5
		H2	1.926			
		H3	2.031			

Smallest standard value: 1.925

Largest standard value: 1938.360

~End
Group:	Samples (100-fold dilution)	1
Sample	Wells	RFU  Values	R	Concentration	MeanConc	Std.Dev.	CV%
Un01	A1	571.498		25.721	21.810	Error	Error
	A2	513.507	R	23.395			
	A3	709.136		31.241			
	A4	514.656		23.441			
	A5	259.944		13.225			
	A6	384.663		18.227			
	A7	202.842		10.935			
	A8	411.766		19.314			
	A9	469.409		21.626			
	A10	655.647		29.096			
	A11	406.428		19.100			
	A12	679.042		30.034			
	B1	616.197		27.514			
	B2	637.426		28.365			
	B3	687.989		30.393			
	B4	487.937		22.369			
	B5	195.297		10.632			
	B6	277.300		13.921			
	B7	254.593		13.010			
	B8	177.842		9.932			
	B9	404.893		19.039			
	B10	723.398		31.813			
	B11	439.859		20.441			
	B12	827.746		35.998			
	C1	530.430		24.074			
	C2	466.033		21.491			
	C3	652.916		28.986			
	C4	420.184		19.652			
	C5	265.295		13.440			
	C6	317.305		15.526			
	C7	270.659		13.655			
	C8	213.268		11.353			
	C9	336.118		16.280			
	C10	487.910		22.368			
	C11	786.678		34.351			
	C12	881.500		38.154			
	D1	706.764		31.146			
	D2	672.927		29.789			
	D3	714.013		31.437			
	D4	386.729		18.310			
	D5	240.144		12.431			
	D6	300.537		14.853			
	D7	240.618		12.450			
	D8	217.455		11.521			
	D9	295.565		14.654			
	D10	538.293		24.389			
	D11	385.379		18.256			
	D12	911.321		39.350			
	E1	720.801		31.709			
	E2	650.651		28.895			
	E3	670.027		29.673			
	E4	507.519		23.155			
	E5	198.124		10.746			
	E6	266.639		13.494			
	E7	199.398		10.797			
	E8	204.917		11.018			
	E9	312.186		15.320			
	E10	545.126		24.663			
	E11	239.296		12.397			
	E12	854.159		37.058			
	F1	827.128		35.974			
	F2	589.770		26.454			
	F3	430.264		20.056			
	F4	489.790		22.444			
	F5	257.817		13.140			
	F6	249.840		12.820			
	F7	208.814		11.174			
	F8	216.690		11.490			
	F9	278.947		13.987			
	F10	133.682		8.161			
	F11	383.059		18.163			
	F12	785.955		34.322			
	G1	961.246		41.353			
	G2	771.508		33.743			
	G3	612.797		27.377			
	G4	438.338		20.380			
	G5	307.882		15.148			
	G6	278.375		13.964			
	G7	226.300		11.876			
	G8	210.966		11.261			
	G9	310.877		15.268			
	G10	335.320		16.248			
	G11	362.555		17.341			
	G12	870.384		37.708			
	H1	657.213		29.159			
	H2	793.513		34.625			
	H3	560.888		25.295			
	H4	703.459		31.013			
	H5	479.313		22.024			
	H6	661.529		29.332			
	H7	310.003		15.233			
	H8	421.648		19.711			
	H9	366.199		17.487			
	H10	508.752		23.204			
	H11	738.200		32.407			
	H12	648.548		28.811			

R - Outside standard range  

~End
Plate:	Sample Plate	1.3	TimeFormat	Endpoint	Fluorescence	FALSE	Raw	FALSE	1						1	538	1	12	96	485	Automatic	530			6	Automatic			1	8	None	
	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
	24.30	571.498	513.507	709.136	514.656	259.944	384.663	202.842	411.766	469.409	655.647	406.428	679.042	616.197	637.426	687.989	487.937	195.297	277.3	254.593	177.842	404.893	723.398	439.859	827.746	530.43	466.033	652.916	420.184	265.295	317.305	270.659	213.268	336.118	487.91	786.678	881.5	706.764	672.927	714.013	386.729	240.144	300.537	240.618	217.455	295.565	538.293	385.379	911.321	720.801	650.651	670.027	507.519	198.124	266.639	199.398	204.917	312.186	545.126	239.296	854.159	827.128	589.77	430.264	489.79	257.817	249.84	208.814	216.69	278.947	133.682	383.059	785.955	961.246	771.508	612.797	438.338	307.882	278.375	226.3	210.966	310.877	335.32	362.555	870.384	657.213	793.513	560.888	703.459	479.313	661.529	310.003	421.648	366.199	508.752	738.2	648.548	

~End
Copyright © 2004 Molecular Devices. All rights reserved.
