X	Y	measured	actual	color	order	generation
0.01	0.644	0.99	0	0	1	0
NaN	NaN	NaN	-1	0	2	2000
0.507	0.544	0.523	-1	0	3	5000
1.039	0.019	0.011	1	0	4	10000
1.046	0.114	0.069	1	0	5	15000
1.082	0.023	0.014	1	0	6	20000
0.83	0.166	0.125	0.95	2	7	NA
0.844	0.07	0.053	0.9	2	8	NA
0.906	0.149	0.104	0.85	2	9	NA
0.805	0.16	0.125	0.8	2	10	NA
0.903	0.153	0.107	0.75	2	11	NA
0.716	0.246	0.21	0.7	2	12	NA
0.825	0.206	0.156	0.65	2	13	NA
0.638	0.286	0.268	0.6	2	14	NA
0.686	0.344	0.296	0.55	2	15	NA
0.58	0.375	0.365	0.5	2	16	NA
0.481	0.419	0.457	0.45	2	17	NA
0.538	0.512	0.484	0.4	2	18	NA
0.383	0.55	0.612	0.35	2	19	NA
0.358	0.511	0.61	0.3	2	20	NA
0.302	0.634	0.717	0.25	2	21	NA
0.228	0.595	0.767	0.2	2	22	NA
0.14	0.737	0.88	0.15	2	23	NA
0.094	0.792	0.925	0.1	2	24	NA
0.055	0.782	0.956	0.05	2	25	NA
0.07	0.674	0.934	-1	1	26	500
0.008	0.787	0.993	-1	1	27	1000
0.009	0.838	0.993	-1	1	28	1500
0.068	0.764	0.943	-1	3	29	2000
0.066	0.832	0.95	-1	3	30	2000
0.058	0.744	0.95	-1	3	31	2000
0.495	0.623	0.572	-1	1	32	2500
0.489	0.607	0.569	-1	1	33	3000
0.484	0.634	0.585	-1	1	34	3500
0.483	0.571	0.553	-1	1	35	4000
0.472	0.581	0.565	-1	1	36	4500
0.528	0.649	0.565	-1	3	37	5000
0.555	0.625	0.538	-1	3	38	5000
0.447	0.478	0.521	-1	3	39	5000
0.476	0.505	0.518	-1	1	40	5500
1.081	0.022	0.013	-1	1	41	5600
0.549	0.203	0.226	-1	1	42	6000
0.505	0.533	0.517	-1	1	43	6500
0.554	0.538	0.491	-1	1	44	7000
0.668	0.414	0.353	-1	1	45	7500
0.606	0.496	0.437	-1	1	46	8000
0.74	0.354	0.284	-1	1	47	8500
0.738	0.499	0.379	-1	1	48	9000
0.74	0.4	0.316	-1	1	49	9500
0.844	0.378	0.268	-1	3	50	10000
0.914	0.37	0.245	-1	3	51	10000
0.791	0.315	0.242	-1	3	52	10000
0.683	0.447	0.369	-1	1	53	10500
0.629	0.481	0.415	-1	1	54	11000
1.007	0.207	0.129	-1	1	55	11600
0.902	0.075	0.053	-1	1	56	12000
0.662	0.612	0.475	-1	1	57	12500
1.016	0.083	0.052	-1	1	58	13000
1.034	0.046	0.028	-1	1	59	13500
0.951	0.025	0.017	-1	1	60	14000
0.863	0.023	0.017	-1	1	61	14500
0.889	0.02	0.014	-1	3	62	15000
1.002	0.022	0.014	-1	3	63	15000
0.952	0.021	0.014	-1	3	64	15000
0.959	0.022	0.014	-1	1	65	15500
0.951	0.024	0.016	-1	1	66	16000
1.088	0.022	0.013	-1	1	67	16500
0.984	0.021	0.014	-1	1	68	17000
1.081	0.024	0.014	-1	1	69	17500
1.163	0.043	0.023	-1	1	70	18000
1.026	0.021	0.013	-1	1	71	18500
0.955	0.041	0.028	-1	1	72	19000
1.015	0.022	0.014	-1	1	73	19500
0.922	0.022	0.015	-1	3	74	20000
0.927	0.019	0.013	-1	3	75	20000
1.024	0.018	0.011	-1	3	76	20000
0.936	0.021	0.014	-1	1	77	20500
0.975	0.022	0.014	-1	1	78	21000
0.967	0.019	0.013	-1	1	79	21500
1.111	0.017	0.01	-1	1	80	22000
1.145	0.021	0.011	-1	1	81	22500
0.955	0.02	0.014	-1	1	82	23000
1.043	0.02	0.012	-1	1	83	23500
0.948	0.079	0.053	-1	1	84	24000
0.923	0.019	0.013	-1	1	85	24500
1.005	0.028	0.017	-1	1	86	25000
0.932	0.02	0.013	-1	1	87	25500
0.942	0.021	0.014	-1	1	88	26000
1.11	0.019	0.011	-1	1	89	26500
1.027	0.018	0.011	-1	1	90	27000
1.057	0.021	0.013	-1	1	91	27500
NaN	NaN	NaN	-1	1	92	28000
1.024	0.022	0.014	-1	1	93	28500
1.015	0.02	0.012	-1	1	94	29000
1.057	0.019	0.011	-1	1	95	29500
0.904	0.018	0.012	-1	1	96	30000
